,Country/Region,Province/State,MapTo,Latitude,Longitude
564,US,"Montgomery County, TX",TX,30.3213,-95.4778
565,US,"Nassau County, NY",NY,40.6546,-73.5594
566,US,Nebraska,NE,41.12537,-98.268082
567,US,Nevada,NV,38.3135,-117.0554
568,US,New Hampshire,NH,43.452492,-71.563896
569,US,New Jersey,NJ,40.2989,-74.521
570,US,New Mexico,NM,34.8405,-106.2485
571,US,New York,NY,42.1657,-74.9481
572,US,"New York City, NY",NY,40.7128,-74.006
573,US,"New York County, NY",NY,40.7128,-74.006
574,US,"Norfolk County, MA",MA,42.1767,-71.1449
575,US,North Carolina,NC,35.630066,-79.806419
576,US,North Dakota,ND,47.5289,-99.784
577,US,"Norwell County, MA",MA,42.1615,-70.7928
578,US,Ohio,OH,40.388783,-82.764915
579,US,"Okaloosa County, FL",FL,30.5773,-86.6611
580,US,Oklahoma,OK,35.5653,-96.9289
581,US,"Omaha, NE (From Diamond Princess)",NE,41.2545,-95.9758
582,US,"Orange County, CA",CA,33.7879,-117.8531
583,US,"Orange, CA",CA,33.7879,-117.8531
584,US,Oregon,OR,44.572,-122.0709
585,US,Pennsylvania,PA,40.590752,-77.209755
586,US,"Pierce County, WA",WA,47.0676,-122.1295
587,US,"Pinal County, AZ",AZ,32.8162,-111.2845
588,US,"Placer County, CA",CA,39.0916,-120.8039
589,US,"Plymouth County, MA",MA,42.1615,-70.7928
590,US,"Polk County, GA",GA,34.0132,-85.1479
591,US,"Portland, OR",OR,45.5051,-122.675
592,US,"Providence County, RI",RI,41.8882,-71.4774
593,US,"Providence, RI",RI,41.824,-71.4128
594,US,Puerto Rico,PR,18.2208,-66.5901
595,US,"Queens County, NY",NY,40.7282,-73.7949
596,US,"Ramsey County, MN",MN,44.9964,-93.0616
597,US,Rhode Island,RI,41.680893,-71.51178
598,US,"Riverside County, CA",CA,33.9533,-117.3961
599,US,"Rockingham County, NH",NH,42.9931,-71.0498
600,US,"Rockland County, NY",NY,41.1489,-73.983
601,US,"Sacramento County, CA",CA,38.4747,-121.3542
602,US,"San Antonio, TX",TX,29.4241,-98.4936
603,US,"San Benito, CA",CA,36.5761,-120.9876
604,US,"San Diego County, CA",CA,32.7157,-117.1611
605,US,"San Francisco County, CA",CA,37.7749,-122.4194
606,US,"San Mateo, CA",CA,37.563,-122.3255
607,US,"Santa Clara County, CA",CA,37.3541,-121.9552
608,US,"Santa Clara, CA",CA,37.3541,-121.9552
609,US,"Santa Cruz County, CA",CA,36.9741,-122.0308
610,US,"Santa Rosa County, FL",FL,30.769,-86.9824
611,US,"Sarasota, FL",FL,27.3364,-82.5307
612,US,"Saratoga County, NY",NY,43.0324,-73.936
613,US,"Seattle, WA",WA,47.6062,-122.3321
614,US,"Shasta County, CA",CA,40.7909,-121.8474
615,US,"Shelby County, TN",TN,35.1269,-89.9253
616,US,"Snohomish County, WA",WA,48.033,-121.8339
617,US,"Sonoma County, CA",CA,38.578,-122.9888
618,US,South Carolina,SC,33.856892,-80.945007
619,US,South Dakota,SD,44.299782,-99.438828
620,US,"Spartanburg County, SC",SC,34.8606,-81.9535
621,US,"Spokane County, WA",WA,47.6587,-117.4225
622,US,"St. Louis County, MO",MO,38.6103,-90.4125
623,US,"Suffolk County, MA",MA,42.3601,-71.0589
624,US,"Suffolk County, NY",NY,40.9849,-72.6151
625,US,"Summit County, CO",CO,39.5912,-106.064
626,US,"Tempe, AZ",AZ,33.4255,-111.94
627,US,Tennessee,TN,35.7478,-86.6923
628,US,Texas,TX,31.054487,-97.563461
629,US,"Travis, CA",CA,38.2721,-121.9399
630,US,"Travis, CA (From Diamond Princess)",CA,38.2721,-121.9399
631,US,"Tulsa County, OK",OK,36.1593,-95.941
632,US,"Ulster County, NY",NY,41.8586,-74.3118
633,US,"Umatilla, OR",OR,45.775,-118.7606
634,US,Unassigned Location (From Diamond Princess),CruiseShip,35.4437,139.638
635,US,"Unassigned Location, VT",VT,44.3378,-72.7563
636,US,"Unassigned Location, WA",WA,47.7511,-120.7401
637,US,"Unknown Location, MA",MA,42.4072,-71.3824
638,US,Utah,UT,40.15,-111.8624
639,US,Vermont,VT,44.045876,-72.710686
640,US,"Virgin Islands, U.S.",Visl,18.3358,-64.8963
641,US,Virginia,VA,37.7693,-78.17
642,US,"Volusia County, FL",FL,29.028,-81.0755
643,US,"Wake County, NC",NC,35.8032,-78.5661
644,US,Washington,WA,47.4009,-121.4905
645,US,"Washington County, OR",OR,45.547,-123.1386
646,US,"Washington, D.C.",DC,38.9072,-77.0369
647,US,"Washoe County, NV",NV,40.5608,-119.6035
648,US,"Wayne County, PA",PA,41.6739,-75.2479
649,US,West Virginia,WV,38.4912,-80.9545
650,US,"Westchester County, NY",NY,41.122,-73.7949
651,US,"Williamson County, TN",TN,35.9179,-86.8622
652,US,Wisconsin,WI,44.2685,-89.6165
653,US,Wyoming,WY,42.755966,-107.30249
654,US,"Yolo County, CA",CA,38.7646,-121.9018
655,US,Guam,GU,13.4443,144.7937
656,US,Virgin Islands,VI,18.3358,-64.8963
657,US,US,US,37.0902,-95.7129
658,US,United States Virgin Islands,VI,18.35,-64.933
659,US,Guam,GU,,
660,US,United States Virgin Islands,VI,,
661,US,Virgin Islands,VI,,
662,US,US,US,,
663,US,New York,NY,,
664,US,Washington,WA,,
665,US,New Jersey,NJ,,
666,US,California,CA,,
667,US,Illinois,IL,,
668,US,Michigan,MI,,
669,US,Florida,FL,,
670,US,Louisiana,LA,,
671,US,Massachusetts,MA,,
672,US,Texas,TX,,
673,US,Georgia,GA,,
674,US,Colorado,CO,,
675,US,Pennsylvania,PA,,
676,US,Tennessee,TN,,
677,US,Wisconsin,WI,,
678,US,Ohio,OH,,
679,US,Connecticut,CN,,
680,US,North Carolina,NC,,
681,US,Maryland,MD,,
682,US,Virginia,VA,,
683,US,Mississippi,MS,,
684,US,Indiana,IN,,
685,US,South Carolina,SC,,
686,US,Nevada,NV,,
687,US,Utah,UT,,
688,US,Minnesota,MN,,
689,US,Arkansas,AK,,
690,US,Oregon,OR,,
691,US,Alabama,AL,,
692,US,Arizona,AZ,,
693,US,Kentucky,KY,,
694,US,Missouri,MO,,
695,US,Iowa,IA,,
696,US,Maine,ME,,
697,US,Rhode Island,RI,,
698,US,New Hampshire,NH,,
699,US,Oklahoma,OK,,
700,US,Kansas,KS,,
701,US,New Mexico,NM,,
702,US,Hawaii,HI,,
703,US,Delaware,DE,,
704,US,Vermont,VT,,
705,US,Nebraska,NB,,
706,US,Diamond Princess,US,,
707,US,Idaho,ID,,
708,US,Montana,MT,,
709,US,Grand Princess,US,,
710,US,North Dakota,ND,,
711,US,Wyoming,WY,,
712,US,Puerto Rico,PR,,
713,US,South Dakota,SD,,
714,US,Alaska,AK,,
715,US,West Virginia,WV,,
716,US,Wuhan Evacuee,US,,
717,US,District of Columbia,DC,,
718,US,American Samoa,SAM,,
719,US,Northern Mariana Islands,MAR,,
720,US,Recovered,Rcvred,,
